,text,label,Translated Text
2019,I want to but also dont want to,non-suicide,I want to but also dont want to
2020,Bored,non-suicide,Bored
2021,Hapdi ng aking sugat,non-suicide,Pain from my wound
2022,Parang gusto ko na ulit magmahal hahahaha,non-suicide,I feel like I want to love again hahahaha
2023,ngay netong mga babaeng eto dahil sa abs,possible suicidal post,right now these girls are because of abs
2024,parang gusto ko na lang magleft sa group chat namin sa school,possible suicidal post,I feel like I just want to leave our group chat at school
2025,umagang umiiyak,possible suicidal post,morning crying
2026,Magtanim ng PUNO wag sama ng loob ,possible suicidal post,Plant a TREE don't be angry
2027,"nasa harap lang ako ng bahay namin ,pinagalitan na ako",possible suicidal post,"I was just in front of our house, I was scolded"
2028,gawa gawa pa ng kwento,possible suicidal post,the story is made up
2029,Bat ba lagi ako naaapektuhan kapag nanonood ng romance anime,non-suicide,Am I always affected when watching romance anime?
2030,"Nahabol ko na one piece, what is life? ???",non-suicide,"I caught up with one piece, what is life? ???"
2031,Di ako makapagdecide sa gagawin ko amp,non-suicide,I can't decide what to do amp
2032,Bored,non-suicide,Bored
2033,Hapdi ng aking sugat,non-suicide,Pain from my wound
2034,kainis naman ang tumal ng process nyo !!,possible suicidal post,It's annoying how slow your process is!!
2035,Tara long ride sa malapit,possible suicidal post,Let's go for a long ride nearby
2036,Nakakatamad na mag aral,possible suicidal post,It's boring to study
2037,Wala na magawa sa buhay,possible suicidal post,There is nothing to do in life
2038,Hirap mag review pag andami problema,possible suicidal post,It is difficult to review when there are many problems
2039,NAIINIS,non-suicide,DISGUSTED
2040,solid ng mga prof namin,non-suicide,our profs are solid
2041,ang gaan talaga sa pakiramdam pag malinis,non-suicide,it feels really light when it's clean
2042,bat kaya ganon panaginip ko? HAHAHHAHAHAHAH,non-suicide,could that be my dream? HAHAHAHAHAHAH
2043,wtf linggo na,non-suicide,wtf it's been a week
2044,sana matakpan pa to ng concealer bukas hahahahahaha,possible suicidal post,I hope it will be covered with concealer tomorrow hahahahaha
2045,naatching ko na rin ata pati lahat ng sama ng loob ko,possible suicidal post,I'm also catching up with all my bad feelings
2046,"hindi po ako umiyak, pagod po to huhuhu",possible suicidal post,"I didn't cry, I was tired"
2047,"si kuya rider sa sobrang dalas na niyang magdeliver dito sa bahay wala ng tawag tawag or text man lang, ideliver niya na agad hahahahaha",non-suicide,"brother rider, because he delivers so often here at home, there is no call or even a text, he will deliver right away hahahahaha"
2048,work qt ,non-suicide,work qt
2049,oh to be someones palagi,non-suicide,oh to be someones palagi
2050,sa pasukan na ulit ,non-suicide,at the entrance again
2051,last check out na to promise hahahaahahahah,non-suicide,last check out na to promise hahahaahahahaha
2052,"anong living so good, e panganay ako",non-suicide,"what a living so good, I'm the eldest"
2053,from head to foot,non-suicide,from head to foot
2054,andami mo kailangang icare,non-suicide,You have a lot to take care of
2055,ang gastos talaga maging babae,non-suicide,it really costs to be a woman
2056,anuna j&t yong parcel ko inyo nalang na yon?,non-suicide,what's up j&t my parcel is yours?
2057,me n my magugulating self against the worlddd,non-suicide,me n my magugulating self against the worlddd
2058,theres peace knowing i at least tried,non-suicide,theres peace knowing i at least tried
2059,pd bang wag nalang mag feb?????,non-suicide,please don't do feb?????
2060,"i miss you, more than life",non-suicide,"i miss you, more than life"
2061,magtitipid na talaga ako may mga parcel na padating,non-suicide,I will really save money with parcels coming
2062,"wala pong mag aaya ng gala pls, nakareserve na po sa parcel pls",non-suicide,"no one will ask for a gala pls, the parcel is already reserved pls"
2063,hala si antecco nong natuto naman sa discount discount sa shopee hindi na tumigil,non-suicide,"Come on, when Antecco learned about the discount at Shopee, it didn't stop"
2064,pano ka makaka relate sa living so good eh sa pilipinas ka nakatira,non-suicide,how can you relate to living so well you live in the philippines
2065,investing in myself,non-suicide,investing in myself
2066,"indeed a roller coaster year, thank you for the ride 2023. 2024 im readyy ",non-suicide,"indeed a roller coaster year, thank you for the ride 2023. 2024 im readyy"
2067,tamad parin magcharge ngayong 2024!!!!,non-suicide,still lazy to charge this 2024!!!!
2068,"parang ewan mga tao ngayon no, kakachat palang mahal kana agad????",non-suicide,"People don't seem to know right now, they just chatted and loved it right away????"
2069,"but how can someone make love, without being inlove?",non-suicide,"but how can someone make love, without being inlove?"
2070,si ante ay nasa mood kumain ng chocolates,non-suicide,Ante is in the mood to eat chocolates
2071,self love 2024!!!,non-suicide,self love 2024!!!
2072,hay makakapag pahinga na face ko sa make up,non-suicide,"hey, my face can rest from make up"
2073,sana kung anong kinarami ng cravings ko sing dami rin ng pera ko,non-suicide,I wish my cravings increased as much as my money
2074,nakakainis andami kong kinacrave,non-suicide,It's annoying and I crave it
2075,si ate ay naglalaro na naman ng baliw baliwaaan,non-suicide,sister is playing crazy again
2076,edi kayo na pagod hahahaha,non-suicide,you are so tired hahahaha
2077,Andres Bonifacio pasensya pero para kay kath muna yung tagay nato,non-suicide,Andres Bonifacio I'm sorry but our cheers are for you first
2078,si bro ay ang kapal ng mukha maboring e andaming pending school works,non-suicide,"Bro, the face is thick, boring, and there are pending school works"
2079,ginising ako ni Lord hahahaha alam niyang may report ako huhu,non-suicide,Lord woke me up hahahaha he knows I have a report huhu
2080,season of giving sumainyo mga problema ko,non-suicide,"season of giving, my problems are with you"
2081,may pasok na naman pala tom huhu,non-suicide,Tom has school again
2082,si bro ay tamad na tamad magcharge ng phone niya,non-suicide,bro is too lazy to charge his phone
2083,wag niyo muna akong mabiro biro at walang nakakatuwa ngayon at baka masapok ko kayo ,non-suicide,"Don't make fun of me, jokes and nothing funny right now and I might throw up on you"
2084,WHUT???! ANDAMI NA NAMANG PINAPAGAWA,non-suicide,WHAT???! MANY ARE ALREADY WORKING
2085,solid first ep nong ssa HAHAHAHAHAHAHA,non-suicide,solid first ep of ssa HAHAHAHAHAHAHAHA
2086,magrereview pala dapat kala ko matutulog hehe,non-suicide,I should review when I go to sleep hehe
2087,pag sunday night ko talaga naaalalang nag aaral pala ko hehehe,non-suicide,on Sunday night I really remember that I was studying hehehe
2088,quiz na naman tom,non-suicide,"quiz again, Tom"
2089,hala im backk new phone qtie,non-suicide,hala im backk new phone qtie
2090,kaka deact ko kahit di na nakadeact hindi na ko machat talaga HAHAHAHAHHAHAHA,non-suicide,I just deacted even though I'm not deacted anymore I can't really chat anymore HAHAHAHAHHAHAHA
2091,sabay sabay ampp hahahahaha,non-suicide,together together hahahahaha
2092,"happy birthday, my future rn!!!",non-suicide,"happy birthday, my future rn!!!"
2093,bday na ng bebe tom <333,non-suicide,it's baby tom's bday <333
2094,"di ko deserve yon, di kita deserve hahahaha",non-suicide,"I don't deserve that, I don't deserve you hahahaha"
2095,the way u call me love hayyy,non-suicide,the way u call me love hayyy
2096,ganda rainbow,non-suicide,ganda rainbow
2097,bumalik na naman po yong sakit ng phone ko ,non-suicide,my phone's pain is back again
2098,will always have a special place in my heart ,non-suicide,will always have a special place in my heart
2099,"miss my angels, nanay, lolo and ate kia",non-suicide,"miss my angels, mother, grandfather and sister kia"
2100,general cleaning ft. 1D songs couldnt ask for more,non-suicide,general cleaning ft. 1D songs couldnt ask for more
2101,"1D SONGS ON REPEAT COZ Y NOT, MISS KO NA SILA ",non-suicide,"1D SONGS ON REPEAT COZ Y NOT, I MISS THEM ALREADY"
2102,may nangyayari na huiii,non-suicide,something is happening huiii
2103,I MISS MY 1D!!!!! ,non-suicide,I MISS MY 1D!!!!!
2104,huy si ante hahabol sa undas,non-suicide,hey ante will chase the undas
2105,"its the small interaction for me, ang cute hahahahah",non-suicide,"its the small interaction for me, ang cute hahahahah"
2106,ang sakit ng buong pagkatao ko hanep,non-suicide,the pain of my whole being hanep
2107,quiet era agn,non-suicide,quiet era agn
2108,uve begun to feel like home,non-suicide,uve begun to feel like home
2109,ik saglit lang yon pero sobrsng naging special ka sakin hehe,non-suicide,It was only for a while but you were so special to me hehe
2110,"grabe maboring mga tao ngayon, bigla nalang nage-SK",non-suicide,"People are so boring now, they suddenly become SK"
2111,"when Im losing my control, the city spinds around, ure the only one who knows to slow it down",non-suicide,"when Im losing my control, the city spinds around, ure the only one who knows to slow it down"
2112,ay si ante feeling concern,non-suicide,is ante feeling concern
2113,"mga mam/sir, mag eexam pa po ba kamii?",non-suicide,"ladies/sirs, are we going to take the exam?"
2114,happy heart <333,non-suicide,happy heart <333
2115,cleaning some random relatable quotes,non-suicide,cleaning some random relatable quotes
2116,ay may twt pa pala ko hehehhe,non-suicide,I still have twt hehehehe
2117,sama ng pakiramdam ko :((,non-suicide,I'm not feeling well :((
2118,antok na antok ako sa klase amo hahahaha,non-suicide,I'm so sleepy in class hahahaha
2119,ate duties!!!,non-suicide,ate duties!!!
2120,our keon is on his way ,non-suicide,our keon is on his way
2121,Shit nabangga tropa ko!,non-suicide,Shit crashed my troop!
2122,Umaasa pa yong tropa,non-suicide,The troops still hope
2123,Panalo dallas,non-suicide,Panalo dallas
2124,Cash out dallas,non-suicide,Cash out dallas
2125,Sayang tyson furry,non-suicide,Dear tyson furry
2126,Sorry arjeyy:(,non-suicide,Sorry arjeyy:(
2127,Ang mahal ng malboro !,non-suicide,The love of Malboro!
2128,Tumukod motor ng tropa ko,non-suicide,My troops stood up
2129,Sarap ng buhay ko,non-suicide,My life is good
2130,Sakit ng ulo ko,non-suicide,My head hurts
2131,Puyat nanaman sa school,non-suicide,Stayed up late at school
2132,Ayaw bumunga ng mangga namin,non-suicide,Our mangoes do not bear fruit
2133,Ayaw kona muna mag mag inom,non-suicide,He doesn't want to drink first
2134,Nakaka asar ka siah,non-suicide,You are so pissed off
2135,Di yata pares,non-suicide,The yata pairs
2136,Pasok nanaman bukas !,non-suicide,Come back tomorrow!
2137,Kap kalbo ka pala sa personal!,non-suicide,You're bald in person!
2138,Gagastos nanaman sa brief,non-suicide,It will be spent on the brief
2139,Traffic naman !,non-suicide,Traffic!
2140,Nawalan pa ng gas.,non-suicide,Still out of gas.
2141,Ayaw umalan,non-suicide,Don't let it rain
2142,Ang tabang ng ice candy,non-suicide,The help of ice candy
2143,Jogging bukas?,non-suicide,Jogging tomorrow?
2144,Sira namaman araw ko,non-suicide,My day is bad
2145,Gabi na amoy araw ka pa,non-suicide,You still smell like day at night
2146,Ang init naman,non-suicide,It's so hot
2147,Bali na yung upuan,non-suicide,The chair is broken
2148,Sarap ng buko!,non-suicide,Good knuckle!
2149,Sarap mag inom,non-suicide,It's good to drink
2150,Dayo tayo bukas !?,non-suicide,Let's go tomorrow!?
2151,Bakit sya pinili mo!,non-suicide,Why did you choose him!
2152,Lasing nanaman !,non-suicide,Drunk again!
2153,takbo ng takbo parang magnanakaw,non-suicide,run like a thief
2154,feels good lately.,non-suicide,feels good lately.
2155,nakakabwisit kayo,non-suicide,you're crazy
2156,"Happy fathers day pa, hindi ko man masabi ng personal pero mahal kita palagi.",non-suicide,"Happy father's day, I can't even say it personally but I love you always."
2157,Ubos na ang tinta para sa susunod na pahina,non-suicide,The next page is out of ink
2158,"Mahal tumila na ang ulan, oras na para bumalik sa tunay mong tahananan.",non-suicide,"Dear the rain has stopped, it's time to go back to your real home."
2159,"Dati gustong gusto ko matulog, ngayon natatakot na ko",non-suicide,"I used to want to sleep, now I'm afraid"
2160,Banat lang ng banat,non-suicide,Just stretch the stretch
2161,Pano kaya ako nakauwi?,non-suicide,How did I get home?
2162,Baka naman zameco 12% nalang ako oh.,non-suicide,Maybe I'm only 12% zameco oh.
2163,"Hindi ako maka Robin ha, pero pare parehas lang naman tayong bumoto",non-suicide,"I can't be with Robin, but we still vote equally"
2164,Taong Bayan ang bumoto dyan bat nyo ikkwistyon? desisyon ba kayo?,non-suicide,Do you question the people who voted there? do you decide
2165,Sanaol padagat dagat lang.,non-suicide,Let's just go to sea.
2166,Buti nalang nandyan ang tropa,non-suicide,Good thing the troops are there
2167,"Di ka talaga magsasawang tignan sya, i was like girlfriend ko ba talaga to?",non-suicide,"You really won't get tired of looking at her, I was like, is she really my girlfriend?"
2168,Sobrang ganda nya ampotek,non-suicide,It's a very beautiful pharmacy
2169,Tatlo nalang kami di pa din panalo?,non-suicide,There are only three of us and we still don't win?
2170,Hirap mag update Quit cod?,non-suicide,Difficult to update Quit cod?
2171,Lt dun sa nag vivideo sakin habang kumakain kanina sa San Felipe. wala siguro dalang oversize para kay baby boy kaya di lumapit,non-suicide,That's the guy who videoed me while eating earlier in San Felipe. Maybe he didn't bring an oversize for baby boy so he didn't come
2172,Walang bago ikaw pa rin<3,non-suicide,You're still nothing new<3
2173,Sorry sa gastos!! babawi ako,non-suicide,Sorry for the expense!! i will get back
2174,"Katamad, paskong pasko eh",non-suicide,"Laziness, it's Christmas time"
2175,Nasusura talaga ako sa Aguinaldo na yan HAHAHAHAHA,non-suicide,I really hate that Aguinaldo HAHAHAHAHA
2176,Dapat yung oras ng pag online ko ginawa ko nalang pahinga..,non-suicide,"It should be the time when I go online, I just took a break.."
2177,Kinasal lang sa booth noon 2yrs na ngayon cheret,non-suicide,Just got married in the booth then 2yrs now cheret
2178,"ako na mag-aadjust sa videoke niyo guys hehehehe maya na ako mag-review, madaling araw",non-suicide,"I will adjust your video guys hehehehe I will review later, early in the morning"
2179,gusto ko magkaroon ng chihuahua pls ,non-suicide,I want to have a chihuahua pls
2180,"and if im dead to u, why are u at the wake ?!",non-suicide,"and if im dead to u, why are u at the wake ?!"
2181,gm nagtatampo pa rin ako,non-suicide,gm I'm still sulking
2182,kapasura,non-suicide,scrap
2183,pag ikaw sinapak ko talaga,non-suicide,when I really kicked you
2184,iba ata nasabihan mo taylor,non-suicide,"You said something else, Taylor"
2185,ayaw mangyari pero hindi naman gumagawa ng paraan,non-suicide,don't want it to happen but don't do anything about it
2186,dapat pala inuwi ko na si tj,non-suicide,I should have brought tj home
2187,ouch tj ha,non-suicide,ouch tj ha
2188,"stargaze, find calm",non-suicide,"stargaze, find calm"
2189,"grabeng makeup remover to, luha hahahaha",non-suicide,"It's a great makeup remover, tears hahahaha"
2190,"yo, straight up crying cos i cant use my right arm as a pillow :((",non-suicide,"yo, straight up crying cos i cant use my right arm as a pillow :(("
2191,wait nahihilo na ako sa pagod,non-suicide,wait I'm dizzy from exhaustion
2192,jusko patay na ako hindi pa rin sumasagot nanay ko,non-suicide,"I'm almost dead, my mother still doesn't answer"
2193,"wala pong bomb sa bag ko, jolly hotdog lang po",non-suicide,"there's no bomb in my bag, just a jolly hotdog"
2194,help ang awkward po kausapin nitong mga fireman,non-suicide,"help, it's awkward to talk to these firemen"
2195,lakas ng trip ampotek,non-suicide,strength of trip ampotek
2196,daldal nila kuya,non-suicide,they talk brother
2197,hays miss ko na baby ko,non-suicide,"Hey, I miss my baby"
2198,thank you so much kuya tric,non-suicide,thank you so much kuya tric
2199,pag-pray nalang po kita,non-suicide,I'll just pray for you
2200,pagod much,non-suicide,very tired
2201,sorry po first time ko lang po mag-luto ng curry,non-suicide,"I'm sorry, it's my first time to cook curry"
2202,bakit walang nagrreply sa akin,non-suicide,why no one replied to me
2203,want ko mag-firing,non-suicide,I want to shoot
2204,"m tired na, kayat kon agawid huhu",non-suicide,"I'm tired, so I'm agawid huhu"
2205,sana hindi ka po mag-sawa,non-suicide,I hope you don't get bored
2206,sinong hindi maiinis?!,non-suicide,who wouldn't be annoyed?!
2207,wag mag-laro kapag pikon,non-suicide,don't play when you're sick
2208,note to myself,non-suicide,note to myself
2209,sobra ka na julie,non-suicide,you are too much julie
2210,nakipag-away sa panaginip,non-suicide,fought in the dream
2211,ayaw kasi akong tabihan nung isa dyan,non-suicide,I don't want to be next to that one
2212,kinda jealous,non-suicide,kinda jealous
2213,binatak pa mag-karaoke kahit may sore throat,non-suicide,even stretched to karaoke even with a sore throat
2214,kinikilig ako kina archie at roxie pls huhuhu,non-suicide,I love archie and roxie pls huhuhu
2215,hoy ang sakit talsga ng ulo ko!!!,non-suicide,hey my head hurts!!!
2216,e minigraine,non-suicide,and minigraine
2217,lakas mangonsensiya ng nanay ko ><,non-suicide,my mother feels guilty ><
2218,mas magaling pa kasi yung tinuturuan bwesit,non-suicide,it's even better because the one who teaches bwesit
2219,why ba tamad na tamad na tamad ako now,non-suicide,why am I so lazy so lazy now?
2220,pls wag mo na ako artehan,non-suicide,pls don't tease me anymore
2221,miss you,non-suicide,miss you
2222,sending hugs ,non-suicide,sending hugs
2223,feel ko makukurot ako ng nanay ko kapag itong binili kong swimwear ginamit ko,non-suicide,I feel like my mom will pinch me when I use this swimwear I bought
2224,ik my notes app be scared when she see me coming ,non-suicide,ik my notes app be scared when she see me coming
2225,pls always be kind,non-suicide,pls always be kind
2226,kunware nalang unbothered,non-suicide,pretend to be unbothered
2227,cram siya ngayon,non-suicide,he is cram now
2228,season of giving tapos phone ko unang nag give up,non-suicide,season of giving then my phone gave up first
2229,tangina buhay pa ba to huhu,non-suicide,I wonder if he's still alive
2230,cutie inalukan ako ng burger at fries ni lola na katabi ko,non-suicide,"cutie, grandma next to me offered me a burger and fries"
2231,kasi nga po mom ikaw ang magppay,non-suicide,because mom is the one who pays
2232,nakuryente buong pagkatao ko hayop na massager to,non-suicide,"My whole being was electrified, it was an animal massager"
2233,kala ko naman madaling araw na,non-suicide,I think it's early morning
2234,mga magulang ko iniwan ako rito sa dilim,non-suicide,my parents left me here in the dark
2235,want ko yung mint truffle na kisses,non-suicide,I want the mint truffle kisses
2236,kelan kaya matututong kumain ng isda nang hindi natitinik tong mga pusa ko,non-suicide,when will my cats learn to eat fish without getting pricked?
2237,kaya to hehe ako pa (walang choice),non-suicide,that's why I'm still hehe (no choice)
2238,ang init init init init,non-suicide,the heat heat heat heat
2239,cheret nangungulila lang,non-suicide,cheret is just homesick
2240,si sir tamad na tamad na sa amin huhuhuhu,non-suicide,Mr. Tamad is too lazy for us huhuhu
2241,aga magising ampotek,non-suicide,morning wake up apothecary
2242,kausapin niyo sarili niyo bye,non-suicide,talk to yourself bye
2243,miss u na kasi,non-suicide,I miss you already
2244,the pain kapag gusto mong tumulong but dk how,non-suicide,the pain when you want to help but don't know how
2245,bakit naman naka except acc ko sa story ng mga pamangkin ko,non-suicide,why did I have an except acc in the story of my nephews?
2246,hayop na cravings to inihaw na liempo pero dapat sa dagat kainin,non-suicide,animal cravings for grilled liempo but must be eaten in the sea
2247,idk kung saan ko nakukuha sugat ko lagi sa ilong,non-suicide,I don't know where I get my sore nose
2248,e umiyak sa takot,non-suicide,e cried in fear
2249,nagpaopen notes pero wala pa ring nakuhang sago,non-suicide,opened notes but still didn't get sago
2250,hehehe sorry po salamin ko lang pala ang gamot sa hilof ko,non-suicide,"hehehe, I'm sorry, the medicine is just my glasses"
2251,what if mag pashort tapos dye ako ng hair?????!!!!!,non-suicide,what if I go short and then dye my hair?????!!!!!
2252,okay kwento mo yan,non-suicide,okay that's your story
2253,the best talaga mga biglaang gala w main,non-suicide,the best are really sudden wanderings w main
2254,kung ako yan pati resibo ng everything ilalapag ko ,non-suicide,"If it's me, I'll send the receipt of everything"
2255,mamamatay na ata ako sa sakit ng puson ko,non-suicide,I'm going to die of my stomach ache
2256,"naawkward ako kapag buong pangalan tinatawag sa akin, feeling ko galit huhu",non-suicide,"I feel awkward when my full name is called, I feel angry huhu"
2257,ano ako tanga? tigil tigilan niyo nga ako,non-suicide,what am I stupid? stop stop me
2258,grabe ka naman maam huhu sana pinagquiz mo nalang kami ng nakapikit,non-suicide,"You're terrible, ma'am, I wish you'd quiz us with your eyes closed"
2259,idk pero grabe namang katangahan ko na to,non-suicide,idk but it's really stupid of me
2260,matutulog na nga lang kasi mangbabadtrip pa,non-suicide,I'll just go to sleep because I'm still tripping
2261,excited na naman ang tita,non-suicide,the aunt is excited again
2262,fave ba naman ako ng kapatid,non-suicide,Is my brother's favorite?
2263,fave ba naman ako ng kapatid,non-suicide,Is my brother's favorite?
2264,5 months na tayong hindi nagkikita,non-suicide,We haven't seen each other for 5 months
2265,tatay ko pagod na kakareceive ng parcel ko,non-suicide,my father is tired of receiving my parcel
2266,lf macbook air yung libre,non-suicide,lf macbook air is free
2267,anong oras na hindi pa rin ako tantanan ng mga to,non-suicide,What time is it that they still don't understand me?
2268,naiiyak ako dami ko cravings,non-suicide,"I cry, I have so many cravings"
2269,oh ayan wala ng maingay na immature sa feed ko,non-suicide,oh there is no noisy immature in my feed
2270,"sakit ng tiyan ko kakatawa, hayop na sean to",non-suicide,"My stomach hurts laughing, it's an animal"
2271,ingay sa fb,non-suicide,noise on fb
2272,masyadong problematic ampota,non-suicide,too problematic ampota
2273,buti nalang wala kang jowa kasi hindi mo naman deserve,non-suicide,It's a good thing you don't have a boyfriend because you don't deserve it
2274,"maam hindi lang naman ikaw ang subject namin, grabe naman makarush",non-suicide,"Ma'am, you are not our only subject, it's too much to rush"
2275,ang sarap naman mag inarte HAHAHAHAHAHA,non-suicide,it's good to act HAHAHAHAHAHA
2276,does it bother me? yes. will i ever tell you? no,non-suicide,does it bother me? yes. will i ever tell you? no
2277,sakit ng ulo ko wtf,non-suicide,my head hurts wtf
2278,i’m so motherly when i love someone,non-suicide,i’m so motherly when i love someone
2279,e naayos,non-suicide,it's fixed
2280,nawala lahat ng pagod ko ah nakakainis,non-suicide,"I lost all my tiredness, it's annoying"
2281,makastress naman tong gender and society,non-suicide,gender and society can be stressful
2282,"ngayon na nga lang papasok, nagisa pa ng prof ",non-suicide,"just now coming in, the prof"
2283,bakit naman nagising pa ako. paano ako matutulog ulit nito???????,non-suicide,why am I still awake? how can I sleep with this???????
2284,"bitter naman nitong dalawang lalaking to, hindi naman sila inaano e huhu",non-suicide,"These two men are bitter, they are not what they are"
2285,gusto ko po ng crush para makapag papansin na ako,non-suicide,I want a crush to pay attention to me
2286,kaya to pumapasok naman akong 30mins lang ang tulog,non-suicide,that's why I come in with only 30 minutes of sleep
2287,quality time and act of service>>,non-suicide,quality time and act of service>>
2288,hindi ako makatulog ampunyetang buhay to,non-suicide,I can't sleep for the rest of my life
2289,weird naman ng mga lalaki now huhu,non-suicide,Men are weird now huhu
2290,guys iprank niyo rin ako tapos bigyan niyo ako ng kotse after,non-suicide,"Guys, prank me too and then give me a car after"
2291,hugs are the most healing things ever,non-suicide,hugs are the most healing things ever
2292,masama bang mamiss ang greatest love ko?!,non-suicide,is it bad to miss my greatest love?!
2293,hahahaha pls gusto ko rin ng mini donuts,non-suicide,hahahaha pls I want mini donuts too
2294,hahahaha pls gusto ko rin ng mini donuts,non-suicide,hahahaha pls I want mini donuts too
2295,instalk lang naman ako ng crush ko,non-suicide,My crush just installed me
2296,TAMA NA PO KAKARETO NIYO GUSTO KO NA MANAHIMIK,non-suicide,"YOU ARE RIGHT NOW, I WANT TO KEEP QUIET"
2297,daming pantal sa legs kapang dugo na,non-suicide,a lot of rash on the legs when it bleeds
2298,never again eebak HAHAHAHA,non-suicide,never again eebak HAHAHAHA
2299,di pa ako pumapasok pero.gusto ko na uuwi HAHAHAH,non-suicide,I haven't come in yet but. I want to go home HAHAHAH
2300,sana sabado na para off na hays,non-suicide,I hope it's Saturday so the hay is off
2301,namimiss ko na mga friends ko,non-suicide,I miss my friends
2302,ay bata pa lang nakikisawsaw na,non-suicide,is just a child who is already immersed
2303,"di po ako buntis , malaki lang po tyan ko ",non-suicide,"I'm not pregnant, I just have a big belly"
2304,"grabe tapos na po jan 1 huhu , sarap tulog ko bat naman nagpaputok pa kayo sunod sunod",non-suicide,"It's too bad it's already over 1 huhu, I slept well but you still fired one after another"
2305,lalamig ata ang bagong taon ko,non-suicide,my new year will be cold
2306,no negative vibes,non-suicide,no negative vibes
2307,Magmove on na ako sa 2024 ayp HAHAHAHAH,non-suicide,I will move on in 2024 ayp HAHAHAHAH
2308,"may mga pavideoke na pala , malapit nanaman ang summer era huhu",non-suicide,"Turns out there are videos already, the summer season is almost here huhu"
2309,di na makakain kanina dahil sa pagkadadaming langaw,non-suicide,could not eat earlier because of the many flies
2310,"ano gagawin ko ? pag nakatutok Efan sinisipon ako , pag hindi pagpawisan",non-suicide,"what should I do? When I focus, I catch a cold, when I don't sweat"
2311,Punta sana akong watsons kaso nakaready na yung mga saleslady hahaha back out ah,non-suicide,I should go to watsons because the saleslady is already ready hahaha back out ah
2312,tapos ang titignan ko lang kung nakasale pa yung bibilhin ko hahahaha,non-suicide,then I'll just check if the one I'm going to buy is still available hahahaha
2313,yung kasabay ko sa tric natusok na mata ko ng buhok mo,non-suicide,the one with me in the tric got my eye pierced by your hair
2314,di ko naman masabi nakaearphone ei huhu,non-suicide,I can't tell if I'm wearing earphones or not
2315,sunshine stop HAHAHAH,non-suicide,sunshine stop HAHAHAH
2316,claiming this thing ,non-suicide,claiming this thing
2317,Just woke up haha,non-suicide,Just woke up haha
2318,welcome to the family ,non-suicide,welcome to the family
2319,Japan cutie ,non-suicide,Japan cutie
2320,di na ko magpuyat,non-suicide,I don't stay up anymore
2321,malapit na mag back to reality,non-suicide,going back to reality soon
2322,namimiss ko na yung mga kaGIN hahaha,non-suicide,I already miss you guys hahaha
2323,yeey,non-suicide,wolf
2324,bilis ng araw . kabado na ko,non-suicide,sun speed I'm tired
2325,God will work it out!,non-suicide,God will work it out!
2326,ulan nanaman,non-suicide,rain again
2327,Malapit na,non-suicide,It's coming soon
2328,eto namang activities ko ayaw gumawa mag-isa apakatamad jusko,non-suicide,"Here are the activities I don't want to do alone, I'm just too lazy"
2329,"habang papalapit ng papalapit pag uwi ko , parang magkakasakit ako ah !!",non-suicide,"as I get closer and closer to home, I feel like I'm going to get sick!!"
2330,uwing uwi na ko talagaa !!,non-suicide,I'm really going home!!
2331,Yung 40 hrs lang ata ako sa school ng 1st sem pero 600 hrs ng 2nd sem !! ano e2,non-suicide,I was only in school for 40 hrs in the 1st sem but 600 hrs in the 2nd sem!! what is 2
2332,4 days na lang makakauwi na ,non-suicide,Only 4 days to go home
2333,Di ako papakita kay Maam M bukas !! baka kokota na ako HAHAHA,non-suicide,I will not show Maam M tomorrow!! maybe I'm a bitch HAHAHA
2334,"YUNG INAASAR NILA SA AKIN SA GC , WALA NA PO HAHAHAHA",non-suicide,WHAT THEY CHEATED ON ME IN GC IS NO LONGER HAHAHAHA
2335,"gusto ko na magdagat , ket malapit lang sa bahay di ako nakakapunta hays",non-suicide,"I want to go fishing, but it's close to home so I can't go there"
2336,"kasura yung mga batang nagpapaputok , sakit sa puso be !!",non-suicide,"The children who shoot are trash, it hurts the heart!!"
2337,"nung time na wala pa kaming sasakyan kaya nyo maglakad kung saan saan , nung may sasakyan kami halos araw arawin hiramin tapos di pa lagyan ng gas",non-suicide,"when we didn't have a car, you could walk everywhere, when we had a car, we borrowed it almost every day and then never put gas on it."
2338,samatalang kami kahit may sasakyan kaya pa maglakad kung saan saan tapos kayo hihiramin nyo lang,non-suicide,"Unfortunately, even if we have a car, we can still walk anywhere, then you just have to borrow it"
2339,"sira daw sasakyan nila , pero pag sa amin nasira nila , wala na sila pake tapos maayos nanaman yung kanila ",non-suicide,"They said their car was broken, but when they broke it with us, they didn't care anymore and then theirs was fixed"
2340,kapag nasira yung sasakyan namin siguraduhin nyong may ambag kayo ,non-suicide,"when our car breaks down, make sure you contribute"
2341,last time na nasira yan na halos kayo gumagamit halos di na kayo makita,non-suicide,"last time it was broken that you almost used it, you could hardly see it anymore"
2342,kabado para sa lunes,non-suicide,kabado for monday
2343,1 hour lang yuuun huhuhu makisama lahat ng brain cellss ko hahahah,non-suicide,Only 1 hour yuuun huhuhu all my brain cells will be together hahahah
2344,Thank you Lord sa Blessings ,non-suicide,Thank you Lord sa Blessings
2345,sana wag na umulan (?•??•??) miss ko na tumambay at mag take ng picture sa dagat,non-suicide,I hope it doesn't rain (?•??•??) I miss hanging out and taking pictures at the sea
2346,Grabe yung early gift para next year !! Grabee yung pressure hahaha,non-suicide,The early gift for next year is great!! The pressure is great hahaha
