,text,Translated Text,Cleaned Text,label
1766,"maybe di ka lang talaga nya ganon kagusto bhi3! Thank you, next ka na hehez","maybe he doesn't really like you that much bhi3! Thank you, you're next hehez",maybe not really like much bhi thank next hehez,Non-Suicide
1767,I lost the game I couldnt beat,I lost the game I couldnt beat,lose game couldnt beat,Possible Suicidal Post
1768,Napakabilis makalimutan,It's so easy to forget,easy forget,Possible Suicidal Post
1769,"Life is short, but too long for me","Life is short, but too long for me",life short long,Possible Suicidal Post
1770,Parang gusto ko umiyak bigla HAHAHAHAHA,I feel like crying all of a sudden HAHAHAHAHA,feel like cry all sudden hahahahaha,Possible Suicidal Post
1771,Halos lahat ng napagusapan namin pumasok sa panaginip ko,Almost everything we talked about entered my dreams,almost everything talk enter dream,Possible Suicidal Post
1772,sana nga akin na to this time,sana nga akin na to this time,sana nga akin na time,Non-Suicide
1773,kawawa naman na yung mga binabaha na pati house,poor people whose houses are flooded,poor people whose house flood,Non-Suicide
1774,Grabe ulan when mo balak tumigil???,Heavy rain when do you plan to stop???,heavy rain plan stop,Non-Suicide
1775,pumasok lang kanina para maglimas ng tubig boset,just came in a while ago to clear water boset,come ago clear water boset,Non-Suicide
1776,"Lord, please let me win this time ???????","Lord, please let me win this time ???????",lord please let win time,Non-Suicide
1777,Im done.,Im done.,im do,Possible Suicidal Post
1778,Pwede naman siguro kami umiyak diba?,"Maybe we can cry, right?",maybe cry right,Possible Suicidal Post
1779,"Iiyak na sana ako eh, naalala ko lalaki pala ako haha.","I was about to cry, I remembered I'm a boy haha.",cry remember boy haha,Possible Suicidal Post
1780,Edi itigil na natin to,Let's stop it,let stop,Possible Suicidal Post
1781,Sabagay parehas naman na tayong pagod,"After all, we are equally tired",after all equally tired,Possible Suicidal Post
1782,Pwede bang i-cancel muna tong Monday? Wala ako sa mood,Can we cancel this Monday first? I'm not in the mood,cancel monday first not mood,Non-Suicide
1783,cant sleep ?? super init jusko,Can't sleep?? super hot jusko,not sleep super hot jusko,Non-Suicide
1784,Philippians 4:13 I can do all things through Christ which strengtheneth me,Philippians 4:13 I can do all things through Christ which strengtheneth me,philippian all thing christ which strengtheneth,Non-Suicide
1785,nakakapagod tas nakakaantok pa ??,tiring but still sleepy??,tire still sleepy,Non-Suicide
1786,wala sanang pasok tomorrow huhul,"there would be no school tomorrow, guess what?",no school tomorrow guess what,Non-Suicide
1787,Atleast di ako naboring ngayon,At least I'm not bored today,least not bore today,Possible Suicidal Post
1788,Gusto ko sumaya,I want to have fun,want fun,Possible Suicidal Post
1789,the pressure is on na talaga nak!!,the pressure is really on!!,pressure really,Possible Suicidal Post
1790,Talo na nga sa scatter talo pa sa buhay haysss,Losing in scatter is still losing in life haysss,lose scatter still lose life hays,Possible Suicidal Post
1791,Pa give up na,Pa give up na,pa give up na,Possible Suicidal Post
1792,matcha supremacy >>>,matcha supremacy >>>,matcha supremacy,Non-Suicide
1793,walang ulan or hangin pero blackout naysu zameco,no rain or wind but blackout naysu zameco,no rain wind blackout naysu zameco,Non-Suicide
1794,ZAMECO HANUNA MAGKAKAKURYENTE PA BA??! APAKAINIT KAYl,WILL ZAMECO HANUNA STILL HAVE ELECTRICITY??! HOT KAYl,zameco hanuna still electricity hot kayl,Non-Suicide
1795,walang magliligpit ng plato sa pamilyang to! ??  Magcellphone nalang tayong lahat! HAHAHAHAHA,no one will put a plate in this family! ??  Let's all use cellphones! HAHAHAHAHAHA,no one put plate family let all use cellphone hahahahahaha,Non-Suicide
1796,august is going to be nothing but blessings & miracles Im claiming it,august is going to be nothing but blessings & miracles Im claiming it,august go nothing blessing miracle im claim,Non-Suicide
1797,"born to scream, cry and break things when upset, forced to sit in silence and ignore everyone until i feel stable","born to scream, cry and break things when upset, forced to sit in silence and ignore everyone until i feel stable",bear scream cry break thing upset force sit silence ignore everyone feel stable,Possible Suicidal Post
1798,"don’t suffer in silence ha, dapat may background music","don’t suffer in silence ha, dapat may background music",don suffer silence ha dapat may background music,Possible Suicidal Post
1799,after nitong exam talaga hindi niyo na ko macocontact,"After this exam, you really won't be able to contact me",after exam really not able contact,Possible Suicidal Post
1800,"paulit ulit nalang din, kaya sanay nako.","over and over again, so I'm used to it.",over over use,Possible Suicidal Post
1801,galing ko talaga igaslight sarili ko literal na me vs. me pakatanga,"I'm really good at igaslighting myself, literally me vs. I'm stupid",really good igaslighting literally vs stupid,Possible Suicidal Post
1802,12:45 am still waiting,12:45 am still waiting,still wait,Non-Suicide
1803,medyo nakokornihan na ko hahaha,I'm a bit nervous hahaha,bit nervous hahaha,Non-Suicide
1804,umiyak dahil sa lapis huhu gago nung nagnakaw ng lapis ko,cried because of the pencil when my pencil was stolen,cry because pencil pencil steal,Non-Suicide
1805,andami nung drawing sa figure pero yung solution beh isang pindutan lang  sa calcu HAHAHAHA welcome to engineering,"There are many drawings in the figure, but the solution is just one button in calcu HAHAHAHA welcome to engineering",many drawing figure solution one button calcu hahahaha welcome engineering,Non-Suicide
1806,"sarap matulog, lumalamig na haysss","it's good to sleep, it's getting cold haysss",good sleep get cold hays,Non-Suicide
1807,Mas maaga gising ko sa usual na gosing ko ah,I wake up earlier than my usual bedtime,wake up early than usual bedtime,Possible Suicidal Post
1808,"Talking to someone is exhausting, I like it","Talking to someone is exhausting, I like it",talk someone exhaust like,Possible Suicidal Post
1809,I envy the people who are happy,I envy the people who are happy,envy people who happy,Possible Suicidal Post
1810,Going under circumstances to conquer my emotions,Going under circumstances to conquer my emotions,go under circumstance conquer emotion,Possible Suicidal Post
1811,"to be honest, feeling unwanted changes you a lot","to be honest, feeling unwanted changes you a lot",honest feeling unwanted change lot,Possible Suicidal Post
1812,first time ko ata umuwi kagabi ng sobrang late na hindi kinakabahan HAHAHAHAHA,It was the first time I came home so late last night without being nervous HAHAHAHAHAHA,first time come home late last night without nervous hahahahahaha,Non-Suicide
1813,jusko yung aso ko mag iingay ng 1:30 am para lang magpasama umihi sa labas hays,My dog ​​just makes noise at 1:30 am just to pee outside,dog make noise pee outside,Non-Suicide
1814,pero ang ingay parin,but the noise is still there,noise still,Non-Suicide
1815,kung lalaki yung kapatid ko na sakit sa ulo baka madali ko pa matanggap na grrd,"if my brother with a headache is a boy, I might be able to accept grrd easily",brother headache boy might able accept grrd easily,Non-Suicide
1816,"pati pagsasaing sa bahay iasa sa nanay, at inuna yung pagtambay sa labas potangina","as well as saying at home to rely on mom, and hanging out outside potangina was prioritized",well say home rely mom hang out outside potangina prioritize,Non-Suicide
1817,Last mo na yan beh,That's your last one,last one,Possible Suicidal Post
1818,Magsisinungaling ka na nga lang di pa totoo.,"You're just going to lie, it's not true.",go lie not true,Possible Suicidal Post
1819,imissyou:((,i miss you :((,miss,Possible Suicidal Post
1820,Di ka na sana nag message haha.,I wish you wouldn't have messaged haha.,wish not message haha,Possible Suicidal Post
1821,Nabbadtrip na naman ako,I tripped again,trip,Possible Suicidal Post
1822,tangina beh yung kapatid ko na akala mo anak mayaman,It's just my brother who you thought was a rich boy,brother who think rich boy,Non-Suicide
1823,muntik ka nabinggo,you almost freaked out,almost freak out,Non-Suicide
1824,harapang bastusan,rude face,rude face,Non-Suicide
1825,kahit anong tago ko talaga sa pera ko madudukot at madudukot kapag may nangailangan e haha,"no matter what I hide in my money, it will be stolen and stolen when someone needs it haha",no matter what hide money steal steal someone need haha,Non-Suicide
1826,masyado akong iniispoil kahit tambay na ko hahahahaahah,I'm spoiled too much even when I hang out hahahahahah,spoil much even hang out hahahahahah,Non-Suicide
1827,"after that day, i decided not to love someone deeply anymore.","after that day, i decided not to love someone deeply anymore.",after day decide not love someone deeply anymore,Possible Suicidal Post
1828,at least im tryinggg. at least im trying. at least im trying. im trying. im trying. at LEASTTTT im trying....,at least im tryinggg. at least im trying. at least im trying. im trying. im trying. at LEASTTTT im trying....,least im tryinggg least im try least im try im try im try leastttt im try,Possible Suicidal Post
1829,"maturing is realizing that u allowed it, thats y it continued","maturing is realizing that u allowed it, thats y it continued",maturing realize allow thats continue,Possible Suicidal Post
1830,"to receive something youve never had before, you have to do something that youve never done before.","to receive something youve never had before, you have to do something that youve never done before.",receive something youve never before something youve never do before,Possible Suicidal Post
1831,“namumutla ka” oo kasi malapit na ako mamatay,"""you're pale"" yes because I'm about to die",pale yes because die,Possible Suicidal Post
1832,bakit ambait ni tita ko ????,why is my aunt waiting????,why aunt wait,Non-Suicide
1833,bastos na inanak,naughty child,naughty child,Non-Suicide
1834,sakit ulo neh,headache,headache,Non-Suicide
1835,dami naman drama ng buhay ko hahahaha naccringe na po ako,There are so many dramas in my life hahahaha I'm cringing,many drama life hahahaha cringe,Non-Suicide
1836,anong oras na pero bat ang init padin,what time is it but it's still hot,what time still hot,Non-Suicide
1837,"Lahat naman yan gustong makatulong eh, di lang natin alam sino ang nagsasabi ng totoo","Everyone wants to help, we just don't know who is telling the truth",everyone want help not know who tell truth,Possible Suicidal Post
1838,Sana makita mo yung peace na hinahanap mo.,I hope you find the peace you are looking for.,hope find peace look,Possible Suicidal Post
1839,Di naman masaket parang kagat lang ng pating.,It doesn't hurt like a shark bite.,not hurt like shark bite,Possible Suicidal Post
1840,Nakakamiss yung dating pahinga,I miss the old break,miss old break,Possible Suicidal Post
1841,Mahal nga ang araw,The sun is dear,sun dear,Possible Suicidal Post
1842,gusto ko loud music pero wala akong maisip na song amp,I want loud music but I can't think of a song amp,want loud music not think song amp,Non-Suicide
1843,"wala ka na ngang babayaran tapos ikaw pa kawawa kasi WALA KA PANG TITLE MUNA na makukuha??  bobo ka, andami nyong delayed din na napakinabangan nyo nanay ko dahil sa interest tapos ngayon tanginang pagiisip yan","you don't have to pay anything and then you're still miserable because YOU DON'T HAVE A TITLE FIRST to get??  You are stupid, there are many of you who have also delayed that you took advantage of my mother because of the interest and now it's just thinking",not pay anything still miserable because not title first get stupid many who also delay take advantage mother because interest thinking,Non-Suicide
1844,amboring maging tambay huhu,Amboring to hang out huhu,amboring hang out huhu,Non-Suicide
1845,"hayss zameco talaga walang pagbabago, pag putulan ng kuryente ambibilis kapag emergecy ng mga residente about sa kuryente amp masunugan na lahat lahat wala pa amp","Hayss zameco, there is really no change, when the electricity is cut off, it is difficult when the residents have an emergency about the electricity amp, everything is on fire, everything is still not amp",hays zameco really no change electricity cut difficult resident emergency electricity amp everything fire everything still not amp,Non-Suicide
1846,nawalan ako gana magreview ah pamatay nalang,"I lost the desire to review, it's just killing me",lose desire review kill,Non-Suicide
1847,may ur heart remain breakable but never by the same hand twice,may ur heart remain breakable but never by the same hand twice,may ur heart remain breakable never hand twice,Possible Suicidal Post
1848,"i cant say hello to u, and risk another goodbye","i cant say hello to u, and risk another goodbye",cant say hello risk another goodbye,Possible Suicidal Post
1849,tinatarantado na naman ako ng mundo : (((,the world is confusing me again : (((,world confuse,Possible Suicidal Post
1850,Whats happening?,Whats happening?,whats happen,Possible Suicidal Post
1851,Pagod nanaman,Tired again,tire,Possible Suicidal Post
1852,praning si tanga hahahaahah,what a fool hahahaha,what fool hahahaha,Non-Suicide
1853,gipitan malala,pinched mala,pinch mala,Non-Suicide
1854,"anlala nung tric drive, ngayon lang ako nahilo sa sinakyan ko na tricycle jusko ingat ka kuya","I remember the tric drive, just now I got dizzy from the tricycle I was riding jusko be careful brother",remember tric drive get dizzy tricycle rid jusko careful brother,Non-Suicide
1855,WALANG MAANGAS SA YOSI TANGINA HAHAHAHAHAHA NAMAMATAY OO MARAMI GRR,THERE IS NOBODY IN YOSI ONLY HAHAHAHAHAHA DYING YES MANY GRR,nobody yosi only hahahahahaha die yes many grr,Non-Suicide
1856,lisensya muna daw bago ako mag- iphone hahahahahaha motivation yarn,They say I need a license before I get an iPhone hahahahahaha motivation yarn,say need license before get iphone hahahahahaha motivation yarn,Non-Suicide
1857,ayoko na mabuhay,I don't want to live anymore,not want live anymore,Possible Suicidal Post
1858,School is horrible right now,School is horrible right now,school horrible right,Possible Suicidal Post
1859,Bigyan ko time sarili ko para maka recover sa ginawa mo,I'll give myself time to recover from what you did,give time recover what,Possible Suicidal Post
1860,"feeling ko alam ko na sagot, indenial lang ako kasi alam ko marami ako maddissapoint :)))","I feel like I know the answer, I'm just indenial because I know I have a lot of maddissapoints :)))",feel like know answer indenial because know lot maddissapoints,Possible Suicidal Post
1861,"dati yung qn lang na natatanggap ko, kelan ka ggraduate? tapos ngayon kelan ka magkakatrabaho? HAHAHA wala bang kelan ka mamamatay? hahaahah","used to be the only qn I received, when did you graduate? then now when are you going to work? HAHAHA aren't you going to die? hahahahaha",use only qn receive graduate go work hahaha not go die hahahahaha,Possible Suicidal Post
1862,"sobrang bait ni mama, tinitake advantage nyo nanaman mga epal","Mom is very kind, take advantage of the apples",mom very kind take advantage apple,Non-Suicide
1863,"walang tulugan hanggabgg mamaya, gl","no place to sleep until later, gl",no place sleep later gl,Non-Suicide
1864,humabol pa hintayin kita matapos duty,I will wait for you after duty,wait after duty,Non-Suicide
1865,"di ko alam kung maniniwala ako kay pinsan ko, gipit pa naman ako hahahahahahaha","I don't know if I can believe my cousin, I'm still stressed hahahahahahaha",not know believe cousin still stress hahahahahahaha,Non-Suicide
1866,yung set up ko pala yung nakakatawa,My set up is the funny one,set up funny one,Non-Suicide
1867,"ngayon nalang ulit ako inabutan ng umaga, sabog naaaaaa","just now the morning hit me again, it was a blast",morning hit blast,Possible Suicidal Post
1868,hays potangina,hay potangina,hay potangina,Possible Suicidal Post
1869,hoyyy grabe,hoyyy grabe,hoyyy grabe,Possible Suicidal Post
1870,"hi twitter, pa-rant lol","hi twitter, pa-rant lol",hi twitter pa rant lol,Possible Suicidal Post
1871,hayy buhay,hey life,hey life,Possible Suicidal Post
1872,legit ba yung schedule ko? muka kasing joke sksksksk,Is my schedule legit? face like a joke sksksksk,schedule legit face like joke sksksksk,Non-Suicide
1873,makapangyarihang psycho amp hahahahahaha,powerful psycho amp hahahahaha,powerful psycho amp hahahahaha,Non-Suicide
1874,sleep talking niya malala na HAHAHAHAH pinalabas na ako ng hanger sabay follow up daw kay doc,His sleep talking is so bad HAHAHAHAH that he let me out of the hanger while following up with the doc,sleep talk bad hahahahah let out hanger follow up doc,Non-Suicide
1875,"aga naman natulog ni master, sad na ko hayss","Master slept in the morning, I'm sad",master slept morning sad,Non-Suicide
1876,bat nanginginig shuta hahahaah,I'm shaking shuta hahahaah,shake shuta hahahaah,Non-Suicide
1877,masyado na ko sensitive talaga,I'm really too sensitive,really sensitive,Possible Suicidal Post
1878,sana matapos na tong era na to pls lang ayoko na huhu,"I hope this era is over, pls, I don't want it anymore",hope era over pls not want anymore,Possible Suicidal Post
1879,"grabe, hindi pala talaga kita deserve ","seriously, I really don't deserve you",seriously really not deserve,Possible Suicidal Post
1880,"makaalis lang ulit ako sa sitwasyon na to, hindi nako uulit","I can just get out of this situation again, I won't do it again",get out situation not,Possible Suicidal Post
1881,"sumabay talaga sa exam no, sarapp hahahahah","really went along with the exam, thank you hahahahaha",really go along exam thank hahahahaha,Possible Suicidal Post
1882,tangina kinakabahan ako,I'm just nervous,nervous,Non-Suicide
1883,sobrang sakit nanaman ulo ko huhu,My head hurts so much huhu,head hurt much huhu,Non-Suicide
1884,laspot,laspot,laspot,Non-Suicide
1885,pabago bagong desisyon si tanga hay buhay,A new decision is made by a stupid person,new decision make stupid person,Non-Suicide
1886,bat di muna masarap yung jabe today :(()(,isn't today's jabe delicious :(()(,not today jabe delicious,Non-Suicide
1887,Taon lang lumilipas mahal ko.,Years go by my love.,year go love,Possible Suicidal Post
1888,Fck this sht! Im out.,Fck this sht! Im out.,fck sht im out,Possible Suicidal Post
1889,Nakakapagod,It's tiring,tire,Possible Suicidal Post
1890,Pinapabayaan ka lang pero sumusobra ata,You're just being neglected but it's too much,neglect much,Possible Suicidal Post
1891,lowkey hurt but uhhh that’s life.,lowkey hurt but uhhh that’s life.,lowkey hurt uhhh life,Possible Suicidal Post
1892,nairita na ko sa buhok koo kapudotan,I have irritated my hair,irritate hair,Non-Suicide
1893,jusko kakain ako ngayon tapos isusuka ko nanaamn sa byahe huhu,I'm just going to eat now and then I'm going to throw up on the flight huhu,go eat go throw up flight huhu,Non-Suicide
1894,nakakaguilty naman kung magsasaya ako habang yung pamilya ko problemado diba,"It feels guilty if I have fun while my family is in trouble, right?",feel guilty fun family trouble right,Non-Suicide
1895,hearts full ,hearts full,heart full,Non-Suicide
1897,"sana, pag dumating yong araw na gusto mo na, gusto ko pa","hopefully, when the day comes when you want me, I still want you",hopefully day come want still want,Possible Suicidal Post
1898,ang bait mo no oo to the point na kahit hindi ko deserve yang treat mo nagsstay ako ,"You are so kind to the point that even though I don't deserve your treatment, I stayed",kind point even though not deserve treatment stay,Possible Suicidal Post
1899,"i hope u have the courage to know when to end things, and i hope u have the courage to see ending as beautiful transformative stepping stones.","i hope u have the courage to know when to end things, and i hope u have the courage to see ending as beautiful transformative stepping stones.",hope courage know end thing hope courage see end beautiful transformative stepping stone,Possible Suicidal Post
1900,do u know how much chaos it took to be this calm,do u know how much chaos it took to be this calm,know how much chaos take calm,Possible Suicidal Post
1901,i blame myself more than i blame u,i blame myself more than i blame u,blame more than blame,Possible Suicidal Post
1902,solid kagabi,solid last night,solid last night,Non-Suicide
1903,kung may medals lang talaga ang cramming palong palo ako HAHAHAHAHAHAHA,"if cramming really only has medals, I'm going to beat it HAHAHAHAHAHAHAHA",cram really only medal go beat hahahahahahahaha,Non-Suicide
1904,"prove urself more, darlin.","prove urself more, darlin.",prove urself more darlin,Non-Suicide
1905,solid yong pagod ko todayyyyy,I'm really tired todayyyyy,really tire todayyyyy,Non-Suicide
1906,ang ginawa ko lang ata sa nueva ecija uminom HAHAHAHAHAHAHAH,all I did in nueva ecija was drink HAHAHAHAHAHAHAHAH,all nueva ecija drink hahahahahahahahah,Non-Suicide
1907,too drained to keep going,too drained to keep going,drain keep go,Possible Suicidal Post
1908,clouds r getting heavy,clouds r getting heavy,cloud get heavy,Possible Suicidal Post
1909,know when to speak up,know when to speak up,know speak up,Possible Suicidal Post
1910,kapagod,tired,tire,Possible Suicidal Post
1911,"pag nakaluwag luwag na ako, bibili nako sariling mundo ang hirap makipag kapwa tao sainyo","when I'm relieved, I'll buy my own world because it's hard to communicate with other people",relieve buy own world because hard communicate people,Possible Suicidal Post
1912,so happy for mah girls in their lover girl era!!! Dasurvvv,so happy for mah girls in their lover girl era!!! Dasurvvv,happy mah girl lover girl era dasurvvv,Non-Suicide
1913,hayy iba pa rin talaga nong narinig ko ng live yong kanta ni rico blanco na youll be safe here ,"Hey, it was really different when I heard Rico Blanco's live song you'll be safe here",hey really different hear rico blanco live song safe,Non-Suicide
1914,one day ull comeback and ill say no,one day ull comeback and ill say no,one day ull comeback ill say no,Non-Suicide
1915,"ngayon ko masasabi na wala na talaga, okay na rin yon usad na. i did my best just to make things work for the both of us pero tama nga sila it takes two to tango.","now I can say that it's really gone, it's okay that it's progressed. i did my best just to make things work for the both of us but they are right it takes two to nod.",say really go okay progress best make thing work u right take two nod,Non-Suicide
1916,omw to somewhere i used to call home,omw to somewhere i used to call home,omw somewhere use call home,Non-Suicide
1917,Imma close this heart for a bit,Imma close this heart for a bit,imma close heart bit,Possible Suicidal Post
1918,gusto ko na matapos lahat ng paghihirap,I want all suffering to end,want all suffering end,Possible Suicidal Post
1919,gusto ko na magpahinga,I want to rest,want rest,Possible Suicidal Post
1921,katamad,laziness,laziness,Possible Suicidal Post
1922,bat ba lapitin ako ng malalaking katawan/nagpapalaki ng katawan mga gymrat ba ano ba tingin niyo sakin barbel? tyaka anong gagawin ko sa mga biceps niyo???,"Do you want me to be approached by big bodies/body builders, gymrats, what do you think of me, barbel? I wonder what I'm going to do with your biceps???",want approach big body body builder gymrats what think barbel wonder what go biceps,Non-Suicide
1923,back to pagiging kriminal sa lahat ng socmed,back to being a criminal in all socmed,back criminal all socmed,Non-Suicide
1924,si ante ay gusto magpatats,ante wants to patatas,ante want patatas,Non-Suicide
1925,anong meron bat andami nagchachat sakin???? layuan niyo ko mga masasamang ispirito,what's wrong and how many people are chatting with me???? keep evil spirits away from me,what wrong how many people chat keep evil spirit away,Non-Suicide
1926,hala sale na naman,it's on sale again,sale,Non-Suicide
1927,"grabe yong sakit ng puso ko ngayon, parang iba na","My heart hurts so bad now, it's like something else",heart hurt bad like something else,Possible Suicidal Post
1928,"that was my last straw, nobody getting that close to me agn","that was my last straw, nobody getting that close to me agn",last straw nobody get close agn,Possible Suicidal Post
1929,"kahit talaga patayin mo sarili mo sa gawing bahay, may masasabi at masasabi parin","even if you actually kill yourself at home, there is something to be said and still be said",even actually kill home something say still say,Possible Suicidal Post
1930,hindi ko alam anong pahinga gagawin ko para  matapos na lahat to,I don't know what kind of break I'll take to end it all,not know what kind break take end all,Possible Suicidal Post
1931,the cut that always bleeds,the cut that always bleeds,cut always bleed,Possible Suicidal Post
1932,sana walang klase sa taxation,I hope there is no taxation class,hope no taxation class,Non-Suicide
1933,greatful for this heart of mine,greatful for this heart of mine,greatful heart mine,Non-Suicide
1934,"grabe yong peace ko rn, tysm Lord!!!","grabe yong peace ko rn, tysm Lord!!!",grabe yong peace ko rn tysm lord,Non-Suicide
1935,"happy birthday, stranger.","happy birthday, stranger.",happy birthday stranger,Non-Suicide
1936,kala ko happy happy na may exam pa pala huhu,"When I was happy, I was happy that there was still an exam",happy happy still exam,Non-Suicide
1937,Matulog nalang awud bwisit,Just go to sleep,go sleep,Possible Suicidal Post
1938,this lowkey killing me,this lowkey killing me,lowkey kill,Possible Suicidal Post
1939,15 missed calls na oh hindi nalang uuwi ig,15 missed calls and he won't come home,miss call not come home,Possible Suicidal Post
1940,grabe transition ng mood ko,My mood transitions a lot,mood transition lot,Possible Suicidal Post
1941,self-talk at iyak lang pala katapat nito e,Self-talk and crying are the opposite of this,self talk cry opposite,Possible Suicidal Post
1942,kung binalik nyo pa yung pwede mag-lagay ng caption sa repost sa tiktok edi sana okay ang lahat,"if you have returned the one that can put a caption on the repost on tiktok, I hope everything is okay",return one put caption repost tiktok hope everything okay,Non-Suicide
1943,grabe naman ang sakit ng lalamunan ko,My throat is very sore,throat very sore,Non-Suicide
1944,"yeyyyy, nalog in na ulit tg ko","yeyyyy, I logged in again",yeyyyy log,Non-Suicide
1945,"finally, nakapagdagat din","finally, able to go to sea",finally able go sea,Non-Suicide
1946,aga sinusubok ni Lord a,aga tested Lord a,aga test lord,Non-Suicide
1947,unwind sana,unwind sana,unwind sana,Possible Suicidal Post
1948,Bat ko pa kaya pinipilit?,Am I still forcing it?,still force,Possible Suicidal Post
1949,sakit mo po.,you are sick,sick,Possible Suicidal Post
1950,Gagawa pa ng butas eh,Will make a hole,make hole,Possible Suicidal Post
1951,"Im so sick of love songs, so tired of tears. So done with wishing you were still here.","Im so sick of love songs, so tired of tears. So done with wishing you were still here.",im sick love song tired tear do wish still,Possible Suicidal Post
1952,di k pa pwedeng mamatay pwede na yan,"I can't die yet, that's okay",not die yet okay,Non-Suicide
1953,si ante mo ay ngayon palang kakain,your ante is about to eat now,ante eat,Non-Suicide
1954,"my heart is smiling rn bcoz it is much better than before, i appreciate u trying ur hardest even when its hard, sml!!","my heart is smiling rn bcoz it is much better than before, i appreciate u trying ur hardest even when its hard, sml!!",heart smile rn bcoz much good than before appreciate try ur hard even hard sml,Non-Suicide
1955,"lol pinaranas mo ulit, paulit ulit again ang again","lol you experienced it again, again and again and again",lol experience,Non-Suicide
1956,thank god hindi nagsabay ang exam sa obli tapos tax,thank god the exam didn't coincide with the obli then tax,thank god exam not coincide obli tax,Non-Suicide
1957,grabe maga maga mata huhu mahapdi,Very sore eyes,very sore eye,Possible Suicidal Post
1958,bat hirap magdecide huhu,It's hard to decide huh,hard decide huh,Possible Suicidal Post
1959,pinakagagong nagawa ko sa buhay ko,best thing I've ever done in my life,best thing ever do life,Possible Suicidal Post
1960,bobo,bobo,bobo,Possible Suicidal Post
1961,messed,messed,mess,Possible Suicidal Post
1962,nagkaroon pa bigla ng prob5,suddenly there was a prob5,suddenly prob,Non-Suicide
1963,as long as im with u ,as long as im with u,long im,Non-Suicide
1964,watta life,watta life,watta life,Non-Suicide
1965,the world is healing = walang activity,the world is healing = walang activity,world heal walang activity,Non-Suicide
1966,ang gastos mo self,the cost is yours,cost,Non-Suicide
1967,Sumusobra ka na beh,You're exaggerating,exaggerate,Possible Suicidal Post
1968,all will be alright in time,all will be alright in time,all alright time,Possible Suicidal Post
1969,feel ko im gonna throw up,feel ko im gonna throw up,feel ko im gon na throw up,Possible Suicidal Post
1970,so sinong tanga??!?!?!,so who's the fool??!?!?!,who fool,Possible Suicidal Post
1971,edi me huhuhuhu,edi me huhuhuhu,edi huhuhuhu,Possible Suicidal Post
1972,cleaning some drafts twt that ive been keeping for a while hehe,cleaning some drafts twt that ive been keeping for a while hehe,clean draft twt ive keep hehe,Non-Suicide
1973,compile compile pa kasiii,compile compile pa kasiii,compile compile pa kasiii,Non-Suicide
1974,kung pwede lang hindi pumasok bukas e,if it's possible not to come tomorrow e,possible not come tomorrow,Non-Suicide
1975,samahan niyo ko magsamgg,Join me for a chat,join chat,Non-Suicide
1976,finding peace and comfort in silence again <33,finding peace and comfort in silence again <33,find peace comfort silence,Non-Suicide
1977,"i never talked abt it but if i were to look back agn how i begged for u to stay that night, i pity myself ","i never talked abt it but if i were to look back agn how i begged for u to stay that night, i pity myself",never talk abt look back agn how beg stay night pity,Possible Suicidal Post
1978,"idk who left first, u or me","idk who left first, u or me",idk who leave first,Possible Suicidal Post
1979,kapagod.,tired,tire,Possible Suicidal Post
1980,"u were never ready, and ig u never intends to be, at least for me.","u were never ready, and ig u never intends to be, at least for me.",never ready ig never intend least,Possible Suicidal Post
1981,"grabeng trauma to, never ata mawawala : (((","It's a terrible trauma, it will never go away : (((",terrible trauma never go away,Possible Suicidal Post
1982,will forever remember this day,will forever remember this day,forever remember day,Non-Suicide
1983,"half-filipino, half-stressed","half-filipino, half-stressed",half filipino half stress,Non-Suicide
1984,wala kayong malalaman sakin hahahahahah,You don't know anything about me hahahahahaha,not know anything hahahahahaha,Non-Suicide
1985,"mawala na kayong lahat, wag lang ako mawala ulit.","lose all of you, just don't lose me again.",lose all not lose,Non-Suicide
1986,love u pipol!! ,love u pipol!!,love pipol,Non-Suicide
1988,i am trying to hold on,i am trying to hold on,try hold,Possible Suicidal Post
1989,Bad communication really ends a lot of good things.,Bad communication really ends a lot of good things.,bad communication really end lot good thing,Possible Suicidal Post
1990,Walang update ah,There is no update,no update,Possible Suicidal Post
1991,"Yung feeling na, ako na boyfriend HBD lang binati sayo, tas yung palong palo na boybestfriend daig pa LSM.","It's the feeling that I, the boyfriend HBD, just congratulated you, but the palong palo boybestfriend is better than LSM.",feeling boyfriend hbd congratulate palong palo boybestfriend good than lsm,Possible Suicidal Post
1992,"grabe napapabayaan ko na mga online games ko dahil sa pag aaral ko, mali to","I'm seriously neglecting my online games because of my studies, it's wrong",seriously neglect online game because study wrong,Non-Suicide
1993,ang hirap maging masaya pag alam mong report mo bukas hehe,it's hard to be happy when you know your report is tomorrow hehe,hard happy know report tomorrow hehe,Non-Suicide
1994,wrong move.,wrong move.,wrong move,Non-Suicide
1995,may pasok na naman bukas ano ba yan pag ako namatay,"there is school again tomorrow, what if I die?",school tomorrow what die,Non-Suicide
1996,ingame na naman si ate niyo place order nang place order,Your sister is ingame again place order place order,sister ingame place order place order,Non-Suicide
1997,hahahaha pls dont use ur mental health as an excuse sa panggagago sakin,hahahaha pls dont use ur mental health as an excuse for fooling me,hahahaha pls dont use ur mental health excuse fool,Possible Suicidal Post
1998,omg nakakahiya,omg that's embarrassing,omg embarrass,Possible Suicidal Post
1999,ang hirap naman umintindi ng tanga,it's hard to understand a fool,hard understand fool,Possible Suicidal Post
